horizon,domain,species_id,n_events,n_eligible_pairs,n_present_target,n_none_detected,n_dead_or_missing,n_uncertain,n_missed_windows,n_not_applicable,thin_n,calibration_pool,note
,,,3,0,0,0,0,0,7,2,True,False,outcome_class counts only — not official campaign numbers
,fog_escarpment,,1,0,0,0,0,0,2,1,True,False,outcome_class counts only — not official campaign numbers
,fog_escarpment,sp-fog-tdhof,1,0,0,0,0,0,0,0,True,False,outcome_class counts only — not official campaign numbers
,najd_arid,,2,0,0,0,0,0,5,1,True,False,outcome_class counts only — not official campaign numbers
,najd_arid,sp-najd-vtor,1,0,0,0,0,0,0,0,True,False,outcome_class counts only — not official campaign numbers
,najd_arid,sp-najd-zsc,1,0,0,0,0,0,0,0,True,False,outcome_class counts only — not official campaign numbers
d180_establishment,,,3,0,0,0,0,0,3,0,True,False,outcome_class counts only — not official campaign numbers
d180_establishment,fog_escarpment,,1,0,0,0,0,0,1,0,True,False,outcome_class counts only — not official campaign numbers
d180_establishment,fog_escarpment,sp-fog-tdhof,1,0,0,0,0,0,1,0,True,False,outcome_class counts only — not official campaign numbers
d180_establishment,najd_arid,,2,0,0,0,0,0,2,0,True,False,outcome_class counts only — not official campaign numbers
d180_establishment,najd_arid,sp-najd-vtor,1,0,0,0,0,0,1,0,True,False,outcome_class counts only — not official campaign numbers
d180_establishment,najd_arid,sp-najd-zsc,1,0,0,0,0,0,1,0,True,False,outcome_class counts only — not official campaign numbers
d30_germination,,,3,0,0,0,0,0,1,2,True,False,outcome_class counts only — not official campaign numbers
d30_germination,fog_escarpment,,1,0,0,0,0,0,0,1,True,False,outcome_class counts only — not official campaign numbers
d30_germination,fog_escarpment,sp-fog-tdhof,1,0,0,0,0,0,0,1,True,False,outcome_class counts only — not official campaign numbers
d30_germination,najd_arid,,2,0,0,0,0,0,1,1,True,False,outcome_class counts only — not official campaign numbers
d30_germination,najd_arid,sp-najd-vtor,1,0,0,0,0,0,0,1,True,False,outcome_class counts only — not official campaign numbers
d30_germination,najd_arid,sp-najd-zsc,1,0,0,0,0,0,1,0,True,False,outcome_class counts only — not official campaign numbers
d365_survival,,,3,0,0,0,0,0,0,0,True,False,outcome_class counts only — not official campaign numbers
d365_survival,fog_escarpment,,1,0,0,0,0,0,0,0,True,False,outcome_class counts only — not official campaign numbers
d365_survival,fog_escarpment,sp-fog-tdhof,1,0,0,0,0,0,0,0,True,False,outcome_class counts only — not official campaign numbers
d365_survival,najd_arid,,2,0,0,0,0,0,0,0,True,False,outcome_class counts only — not official campaign numbers
d365_survival,najd_arid,sp-najd-vtor,1,0,0,0,0,0,0,0,True,False,outcome_class counts only — not official campaign numbers
d365_survival,najd_arid,sp-najd-zsc,1,0,0,0,0,0,0,0,True,False,outcome_class counts only — not official campaign numbers
d90_survival,,,3,0,0,0,0,0,3,0,True,False,outcome_class counts only — not official campaign numbers
d90_survival,fog_escarpment,,1,0,0,0,0,0,1,0,True,False,outcome_class counts only — not official campaign numbers
d90_survival,fog_escarpment,sp-fog-tdhof,1,0,0,0,0,0,1,0,True,False,outcome_class counts only — not official campaign numbers
d90_survival,najd_arid,,2,0,0,0,0,0,2,0,True,False,outcome_class counts only — not official campaign numbers
d90_survival,najd_arid,sp-najd-vtor,1,0,0,0,0,0,1,0,True,False,outcome_class counts only — not official campaign numbers
d90_survival,najd_arid,sp-najd-zsc,1,0,0,0,0,0,1,0,True,False,outcome_class counts only — not official campaign numbers
